business_token,is_bad
business_GfrtNL8VwyVL,TRUE
business_fNCc5LY8V2rZ,TRUE
business_AzK7T1Je5uYL,TRUE
business_Xqkjm88s17mF,TRUE
business_3a6nF2yFN5GR,TRUE
business_GVbvPXcU5CvK,TRUE
business_fgKRF25zn2wx,TRUE
business_fsNj7CbCb1bR,TRUE
business_ebcJLGoQhqi1,TRUE
business_coBobwQuo8Sb,TRUE
business_kNND9JrTV5qf,TRUE
business_fHrWL2pbpBDB,TRUE
business_mTtRxe9YxUyd,TRUE
business_hnWeLBkfeC8d,TRUE
business_M1tDNvPooSvz,TRUE
business_NVAM2xvk3zWg,TRUE
business_YSak9fHherZ2,TRUE
business_3iJyFubwBqKK,TRUE
business_yHV1FpibwUdw,TRUE
business_ioYM9G82HQRA,TRUE
business_2tXfPv9d9RKA,TRUE
business_xNeMGRGuGCfL,TRUE
business_TNVbZ3JGAa3p,TRUE
business_sQoemZoyCkk1,TRUE
business_VPPfgBSrYsWR,TRUE
business_DLrLTL3ptSHR,TRUE
business_KPHnci5mDgmw,TRUE
business_RoRPcg9hyeQn,TRUE
business_EQUFnXuBdQM5,TRUE
business_XzWPbJ4Se1L4,TRUE
business_Vtw5GLNBUNCq,TRUE
business_5oLL5SyJbFRN,TRUE
business_beBRyZbMuMss,TRUE
business_ETxMkzy6YaEV,TRUE
business_2stBxBErqCaB,TRUE
business_U2pME4dX8Ytj,TRUE
business_BHTjP3yuFncw,TRUE
business_a7jSoF2F2h8Y,TRUE
business_fNpqjp79DizX,TRUE
business_2MxWacneKwt8,TRUE
business_XgxkrjN2S76Q,TRUE
business_T1gkPvVPS1ru,TRUE
business_CJfNGiWrEn7E,TRUE
business_NKtY7qEcR8gh,TRUE
business_mrUEqvyy5jdB,TRUE
business_vDa1aZ3eidBs,TRUE
business_Gu8PAfYVXnjT,TRUE
business_MpP1ZDHdfHwX,TRUE
business_aq7XP2rpgHZP,TRUE
business_1mRki7EmHmep,TRUE
business_WkRpkLqV4fLa,TRUE
business_nVr1E8kWgZzj,TRUE
business_zsNUrdxM2pMP,TRUE
business_TKR6JLPHSdSk,TRUE
business_uXxVMuyx7yCj,TRUE
business_ZeZgHToLc57A,TRUE
business_4yiy6MJGDyNS,TRUE
business_vSwoMNncG9cm,TRUE
business_fTXicxNt6NF7,TRUE
business_WtbFD4jtVNii,TRUE
business_p1bbAorJM6Zd,TRUE
business_o7goALsuFBKf,TRUE
business_em99QtQXQjB4,TRUE
business_CaFq5hkoXQN1,TRUE
business_B9PaUit6SgqP,TRUE
business_YTM2HdTcT33Z,TRUE
business_xTM12WqFMyQB,TRUE
business_5J2sXVd5Hm6a,TRUE
business_WMjjRnx29LCm,TRUE
business_ysz8HFPnUQp6,TRUE
business_My5Qzm1JoY1n,TRUE
business_X9rptbbg7wCz,TRUE
business_1gGMMgc8LnGz,TRUE
business_Ynd9Lfzz4W8t,TRUE
business_5SVY58UeJf1F,TRUE
business_T1QHxDoRxnV4,TRUE
business_Do1oaUShQBoK,TRUE
business_BwcXpAQnEU5P,TRUE
business_YEhCFiPC1oqS,TRUE
business_NB3dR77gx6n6,TRUE
business_VmR48HxW4Euy,TRUE
business_jHSFBiyjDtFc,TRUE
business_EV4QrJxG9jNj,TRUE
business_kNQcHVkF2mRK,TRUE
business_Z1QB8sj471HF,TRUE
business_kqcVEa3v9ApU,TRUE
business_ePZz5XQpsyiW,TRUE
business_8HYqKP5fDgKH,TRUE
business_KAEVkqWvX728,TRUE
business_tWiMG6wWjMDN,TRUE
business_xteH5PLJe9sT,TRUE
business_tSRNNE1BD6Yk,TRUE
business_ahR4mthpnMuG,TRUE
business_tmr6wHRH4HSg,TRUE
business_qrfTGUMjcKJA,TRUE
business_4iEwhjFbjTgt,TRUE
business_yQ9ETfkLRpcn,TRUE
business_cxBbiJ5q3kBS,TRUE
business_94tz15cnK8eU,TRUE
business_1b3j4Fqi12Zf,TRUE
business_vbbrkYXLtP8i,TRUE
business_y8QPwLg2vAbk,TRUE
business_3HqWBC66xDMD,TRUE
business_7P8v9Cg3mvHg,TRUE
business_C2VpNvLVBvDF,TRUE
business_qVFgKsHUt5Nj,TRUE
business_WDdRoM8GfnGk,TRUE
business_2FhoVAMs29qN,TRUE
business_1YM9RcwccuTN,TRUE
business_1vrqpaxnXLSz,TRUE
business_uwx3ZaTsdDGR,TRUE
business_stbY7LA56CC1,TRUE
business_KJury5Uv1i4G,TRUE
business_iEqnughwkysX,TRUE
business_7omNq7i9cci4,TRUE
business_LroGnwzx6FjD,TRUE
business_DcHVJ2rrsPkR,TRUE
business_hA4H4XqFToGZ,TRUE
business_yMSCvcubB1qb,TRUE
business_NsMeou8nnS1n,TRUE
business_4AVJGGsNpYcx,TRUE
business_NWJqiycmGvFt,TRUE
business_RrnWBz3EMii5,TRUE
business_TF2W5kS18yCR,TRUE
business_qY4pwWqk8TaB,TRUE
business_1w7drhz5HjDS,TRUE
business_rGMQCBoMkwq3,TRUE
business_LH2tA8x1h1yS,TRUE
business_7qX7pfuVVRrS,TRUE
business_sudG7b9Rt1wW,TRUE
business_9SLHreipv4jD,TRUE
business_c1k3Ai8CV6r4,TRUE
business_YH1mdjpahFk5,TRUE
business_ZddxRMzbbdRv,TRUE
business_GpwAQ1Kxjmwg,TRUE
business_H1gmTsh9FJec,TRUE
business_tmRXtHuiLMVS,TRUE
business_MScWzh6oxYv6,TRUE
business_2b7nLBJqTFfy,TRUE
business_ZiVqgB3QYDuK,TRUE
business_LyiYEjpVwxHj,TRUE
business_Z2nXeLF3L5sr,TRUE
business_Jc8XUn5Gc3Gm,TRUE
business_WX5Jof4QSNU4,TRUE
business_LVTM8BuvN2N1,TRUE
business_XDoJywsYHcvR,TRUE
business_RuvEbjbYaoqH,TRUE
business_7gtvx9gfhG1V,TRUE
business_BTZNM4oKTfim,TRUE
business_FhhHznixAa9S,TRUE
business_iWGEHDhMTyz6,TRUE
business_jvXu23kCzr7R,TRUE
business_sVqXyD8F75sU,TRUE
business_tPZTfpwQS9TP,TRUE
business_7iE9G7wwae63,TRUE
business_gmSRMHmfxxda,TRUE
business_BgWsbprw1TTy,TRUE
business_zWxy3HVq2Pz2,TRUE
business_HNhHRwbjdeRt,TRUE
business_GWAdtkG1kM2x,TRUE
business_7eYW5eTwQj2K,TRUE
business_VKVG1gprnhi3,TRUE
