business_token,transaction_date,entry_type,direction,amount_cents,transaction_status,internal_failure_reason,vendor_name,mcc,mcc_description,merchant_country,pos_data_type,token_wallet_type,pos_data_attended,pos_data_on_premise,card_entry_mode,pin_entered,pan_entry_mode,card_network,avs_result
business_sgTVjfkcmcAt,2022-06-01 11:10:13,ach_external,to,677000,SETTLED,,ZV9ljMGWhvMyMKNQWMKBQ50RKp2Aq7J2C0GhKl1qJh0=,,,,,,,,,,,,
business_xS1GSdvqvGVH,2022-06-01 11:10:14,ach_external,to,317096,SETTLED,,i7Ozt7noEeJ5N/Dqflt01kUao1LXICTuS8YoEzRV3F0=,,,,,,,,,,,,
business_vpzTprxfPKrN,2022-06-01 11:10:15,ach_external,to,186167,SETTLED,,8NCZS0l8F4RtIhDuSTv2x2Je6vPrTE73dBjS1V6m1SY=,,,,,,,,,,,,
business_difo2tnTYTc5,2022-06-01 11:10:17,ach_external,to,150000,SETTLED,,7LZ9CHF4HmB8mITcGXDWeg6Z6xPHr7XmZFHKJzadvjk=,,,,,,,,,,,,
business_xS1GSdvqvGVH,2022-06-01 11:10:20,ach_external,to,115255,SETTLED,,i7Ozt7noEeJ5N/Dqflt01kUao1LXICTuS8YoEzRV3F0=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-01 11:10:23,ach_external,to,316650,SETTLED,,WcNJ8we3UgEaopTYe8D/tk6/atgvTo9pE2d1uWcJnPw=,,,,,,,,,,,,
business_RR5HKs2b11pT,2022-06-01 11:10:47,ach_external,to,30677,SETTLED,,YgQWljdElOre/nOyDcNFSBOkdwKx0iSHsbn24wwi8Is=,,,,,,,,,,,,
business_YwejKRwM773W,2022-06-01 11:12:11,ach_external,from,300000,SETTLED,,WkOPqTvVNyg8KuUvU0Th9Ua74d0ULVKWt7ShQSG87l4=,,,,,,,,,,,,
business_YwejKRwM773W,2022-06-01 11:12:15,ach_external,from,118500,SETTLED,,lrJ54NDaTvvuBszg5339GBEE1jdzgIusZWl6HHJ0Ikc=,,,,,,,,,,,,
business_M32Gdm6KDCgs,2022-06-01 11:12:18,ach_external,from,80000,SETTLED,,WkOPqTvVNyg8KuUvU0Th9Ua74d0ULVKWt7ShQSG87l4=,,,,,,,,,,,,
business_c5DUbA5jxeVe,2022-06-01 11:12:19,ach_external,from,65600,SETTLED,,qkbxXK5SO24piyWaSSgOpxUri5uQGh52LI9XfR+f3UQ=,,,,,,,,,,,,
business_QhSJTyeHL5ga,2022-06-01 11:21:39,card,from,27000,SETTLED,,LUISA RAMI* (3 OF 3 PA,7399,"Business Services, Not Elsewhere Classified",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_sgTVjfkcmcAt,2022-06-01 12:51:53,card,from,4329,SETTLED,,eBay O*06-08699-56373,5311,Department Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_sgTVjfkcmcAt,2022-06-01 13:36:47,card,from,4886,SETTLED,,PAYPAL *kuraynanay,4829,Money Orders – Wire Transfer,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_HWUf2mxY7wyK,2022-06-01 13:57:02,card,from,1000,SETTLED,,BC.HEY EMAIL 5101907,8699,Membership Organizations ( Not Elsewhere Classified),USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_VgMGGH14iFPx,2022-06-01 14:58:32,card,from,21670,SETTLED,,AMERICAN,3001,AMERICAN AIRLINES,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_sgTVjfkcmcAt,2022-06-01 15:11:47,card,from,36672,SETTLED,,THE HOME DEPOT #3015,5200,Home Supply Warehouse Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_sgTVjfkcmcAt,2022-06-01 15:17:49,card,from,34587,SETTLED,,THE HOME DEPOT #3015,5200,Home Supply Warehouse Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_JdqojUMWtYU8,2022-06-01 15:36:17,card,from,5651,SETTLED,,AMAZON.COM*1X02M5XS2 A,5942,Book Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_pGErY9hkzHwZ,2022-06-01 15:37:31,card,from,100,VOIDED,,SUPER PETRO SAUGUS,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,FALSE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_pGErY9hkzHwZ,2022-06-01 15:37:59,card,from,9790,SETTLED,,SUPER PETRO SAUGUS,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,FALSE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,MATCH_ZIP_ONLY
business_sgTVjfkcmcAt,2022-06-01 16:03:47,card,from,27360,SETTLED,,MENARDS ST. PETERS MO,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_c5DUbA5jxeVe,2022-06-01 16:30:03,card,from,20900,SETTLED,,ALL AMERICAN PUBLISHIN,7311,Advertising Services,USA,POS_TERMINAL,,TRUE,TRUE,NOT_PRESENT,FALSE,MANUAL,MASTERCARD,MATCH_ZIP_ONLY
business_mPhiyWLi1Ete,2022-06-01 16:46:35,card,from,10947,SETTLED,,POSTAGE GOSHIPPO.COM,7399,"Business Services, Not Elsewhere Classified",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_g5oeQtakbRSk,2022-06-01 17:27:56,card,from,48154,SETTLED,,EASYSHIP.COM,4215,"Courier Services – Air or Ground, Freight forwarders",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ZIP_ONLY
business_GthGNve4Ku76,2022-06-01 17:39:47,card,from,1431,SETTLED,,WALGREENS STORE 378 BALDW,5912,Drug Stores and Pharmacies,USA,ECR,,FALSE,TRUE,PRESENT,TRUE,CONTACTLESS,INTERLINK,FAIL
business_g5oeQtakbRSk,2022-06-01 17:47:36,card,from,4930,SETTLED,,EASYSHIP.COM,4215,"Courier Services – Air or Ground, Freight forwarders",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ZIP_ONLY
business_RR5HKs2b11pT,2022-06-01 17:50:50,card,from,724,SETTLED,,BURGER KING #11244 Q07,5814,Fast Food Restaurants,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-01 17:55:13,card,from,4032,SETTLED,,SPEEDWAY #07137,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,FALSE,TRUE,PRESENT,TRUE,ICC,MASTERCARD,FAIL
business_UGVFq2hebydM,2022-06-01 18:12:12,card,from,342800,SETTLED,,Hub Ent Bluebird MFG,5970,Artist’s Supply and Craft Shops,USA,DIAL_TERMINAL,,TRUE,TRUE,NOT_PRESENT,FALSE,MANUAL,MASTERCARD,MATCH
business_g5oeQtakbRSk,2022-06-01 18:12:46,card,from,8718,SETTLED,,EASYSHIP.COM,4215,"Courier Services – Air or Ground, Freight forwarders",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ZIP_ONLY
business_pGErY9hkzHwZ,2022-06-01 18:40:45,card,from,10657,SETTLED,,THE HOME DEPOT #8931,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_8J874G7wtVS3,2022-06-01 18:44:25,card,from,499,DECLINED,INSUFFICIENT_FUNDS,HUSHED 1-800-631-7565,5817,Digital Goods: Applications (Excludes Games),CAN,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_VgMGGH14iFPx,2022-06-01 18:57:31,card,from,4064,SETTLED,,TST* LUV CHILD,5812,Eating places and Restaurants,USA,PHONE,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_ShXMUU1ccQnx,2022-06-01 19:47:01,card,from,3000,SETTLED,,CASH APP*SEPHIROTH,4829,Money Orders – Wire Transfer,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_sgTVjfkcmcAt,2022-06-01 20:01:05,card,from,8361,SETTLED,,MENARDS ST. PETERS MO,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_g5oeQtakbRSk,2022-06-01 20:25:28,card,from,1544,SETTLED,,TST* The Toss Up,5812,Eating places and Restaurants,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,CONTACTLESS,MASTERCARD,FAIL
business_rhBeYALGZj8W,2022-06-01 20:32:40,card,from,4344,SETTLED,,TST* Oxford Exchange,5812,Eating places and Restaurants,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_QhSJTyeHL5ga,2022-06-01 20:43:51,ach_internal,from,300000,SETTLED,,jTemELDy7XHjp+sXB/sRKrt3txZID8iBpV2qdlzKzIM=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-01 20:47:19,card,from,2400,SETTLED,,GOOGLE*GSUITE LIFETHEP,4816,Computer Network Services,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,FAIL
business_g5oeQtakbRSk,2022-06-01 20:53:01,card,from,412904,SETTLED,,RENTFOREVENTLA,7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_QhSJTyeHL5ga,2022-06-01 20:55:41,card,from,3403,SETTLED,,SERVICE FEE,9311,Tax Payments,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_QhSJTyeHL5ga,2022-06-01 20:55:42,card,from,144795,SETTLED,,IL DEPT OF REVENUE,9311,Tax Payments,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_c5DUbA5jxeVe,2022-06-01 21:10:20,ach_external,to,580676,SETTLED,,bmigdQ6wQIaxICo3I21Zcy9/Oqj7FPaR//wSDay5zyA=,,,,,,,,,,,,
business_sgTVjfkcmcAt,2022-06-01 21:11:54,card,from,16989,SETTLED,,THE HOME DEPOT #3015,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_g5oeQtakbRSk,2022-06-01 21:24:25,card,from,719,SETTLED,,WAL-MART #5072,5310,Discount Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-01 21:32:22,card,from,3753,SETTLED,,DOLLAR GENERAL #18305,5331,Variety Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_sgTVjfkcmcAt,2022-06-01 23:11:27,atm,from,50300,SETTLED,,US BANK TESSON FERRY,6011,Financial Institutions – Manual Cash Disbursements,USA,ATM,,FALSE,FALSE,PRESENT,TRUE,ICC,MAESTRO,FAIL
business_c5DUbA5jxeVe,2022-06-01 23:52:31,card,from,86347,SETTLED,,ALEXANDRIA PROFESSIONA,5977,Cosmetic Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_g5oeQtakbRSk,2022-06-01 23:53:29,card,from,2456,SETTLED,,GOOGLE VOICE USD,4814,"Fax services, Telecommunication Services",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-02 0:49:12,card,from,21245,SETTLED,,WM SUPERCENTER #657,5411,"Grocery Stores, Supermarkets",USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-02 1:07:52,card,from,2078,SETTLED,,PUBLIX #1634,5411,"Grocery Stores, Supermarkets",USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-02 1:18:43,atm,from,20400,SETTLED,,JEFFERSON COOKSVIL,6011,Financial Institutions – Manual Cash Disbursements,USA,ATM,,FALSE,TRUE,PRESENT,TRUE,ICC,MAESTRO,FAIL
business_sgTVjfkcmcAt,2022-06-02 1:41:41,card,from,6000,SETTLED,,CECIL WHITTAKERS PIZZA,5812,Eating places and Restaurants,USA,DIAL_TERMINAL,,TRUE,TRUE,NOT_PRESENT,FALSE,MANUAL,MASTERCARD,MATCH
business_NrfhrFmh4xUq,2022-06-02 5:26:00,card,from,999,SETTLED,,MUSICBED,5815,"Digital Goods: Media, Books, Movies, Music",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_GthGNve4Ku76,2022-06-02 6:02:43,card,from,2000,SETTLED,,HELLOSIGN MONTHLY,5734,Computer Software Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_98JFPBHrtjcq,2022-06-02 6:18:15,card,from,6455,SETTLED,,"THUMBTACK,* THUMBTACK",7311,Advertising Services,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_pGErY9hkzHwZ,2022-06-02 7:25:42,card,to,2015,SETTLED,,THE HOME DEPOT #3403,5200,Home Supply Warehouse Stores,USA,,,,,,,,MASTERCARD,
business_2CCk7Nc3Vdxg,2022-06-02 8:27:22,card,from,2791,SETTLED,,WORDPRESS RMD26C9BAC,7372,"Computer Programming, Integrated Systems Design and Data Processing Services",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_g5oeQtakbRSk,2022-06-02 11:10:10,ach_external,to,1388395,SETTLED,,WcNJ8we3UgEaopTYe8D/tk6/atgvTo9pE2d1uWcJnPw=,,,,,,,,,,,,
business_Pc9f2sKhz8Ut,2022-06-02 11:10:13,ach_external,to,200000,SETTLED,,xX7DyD3nsUYwM5VEqOBlNe4MeuilBQyatexy/h4zyfs=,,,,,,,,,,,,
business_98JFPBHrtjcq,2022-06-02 11:10:13,ach_external,to,224638,SETTLED,,WcNJ8we3UgEaopTYe8D/tk6/atgvTo9pE2d1uWcJnPw=,,,,,,,,,,,,
business_QhSJTyeHL5ga,2022-06-02 11:10:14,ach_external,to,178604,SETTLED,,WcNJ8we3UgEaopTYe8D/tk6/atgvTo9pE2d1uWcJnPw=,,,,,,,,,,,,
business_vpzTprxfPKrN,2022-06-02 11:10:16,ach_external,to,123675,SETTLED,,8NCZS0l8F4RtIhDuSTv2x2Je6vPrTE73dBjS1V6m1SY=,,,,,,,,,,,,
business_CSUwH5xmvpYe,2022-06-02 11:10:28,ach_external,to,43612,SETTLED,,1nCoiYGFD5rkiBlEJZc5mF15mi4JdBv9BjR4PUL8PKQ=,,,,,,,,,,,,
business_9QxQKRN9z8Bg,2022-06-02 11:10:35,ach_external,to,33872,SETTLED,,pbAzycdzCOltsn32p0CPIexIG2dOuLVDU/rFwYOCpDo=,,,,,,,,,,,,
business_9QxQKRN9z8Bg,2022-06-02 11:10:42,ach_external,to,11423,SETTLED,,2B1Ch7kyKND2eUxTzAqDsgJDpGLOdI8O+eydGQ01F8k=,,,,,,,,,,,,
business_RR5HKs2b11pT,2022-06-02 11:11:42,ach_external,to,5775,SETTLED,,YgQWljdElOre/nOyDcNFSBOkdwKx0iSHsbn24wwi8Is=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-02 11:11:50,ach_external,from,162000,SETTLED,,dFqjzz/txjfEbRNb3IaxQyEVLIM+cBQ89fbo9CqfMRQ=,,,,,,,,,,,,
business_NrfhrFmh4xUq,2022-06-02 11:11:53,ach_external,from,67000,SETTLED,,Gm/q0dtExnGhTRsR9Sk95X4z1BrbVoiSZSgRaOE8LwQ=,,,,,,,,,,,,
business_NrfhrFmh4xUq,2022-06-02 11:11:57,ach_external,from,37500,SETTLED,,Ic3KD++Fm/yjviVdaJCm/PeoM+mLLVKMngouPoEUUiI=,,,,,,,,,,,,
business_M32Gdm6KDCgs,2022-06-02 11:12:08,ach_external,from,11000,SETTLED,,Y4RoY6JuakZjcYuM7yfsA0F4ZIfEueGFU8d4LQL/ryk=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-02 11:12:11,ach_external,from,9400,SETTLED,,xKga/qv4mDbAIT/tofHNYVsVb2VRBGT7XtAAAKpvEhw=,,,,,,,,,,,,
business_sgTVjfkcmcAt,2022-06-02 11:12:30,ach_external,from,2500,SETTLED,,eo8zew74VfS8c1q0/pUn5i9YhqgBKrr072uuFeReVX0=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-02 11:12:40,ach_external,from,475,SETTLED,,/QH9i7OgW1dre/Fovljta1gU21yLpBJ/xpB6x7BJcds=,,,,,,,,,,,,
business_pGErY9hkzHwZ,2022-06-02 12:42:03,card,from,4000,SETTLED,,Red Arrow,5812,Eating places and Restaurants,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,MAGNETIC_STRIPE,MASTERCARD,FAIL
business_sgTVjfkcmcAt,2022-06-02 13:37:52,card,from,22407,SETTLED,,THE HOME DEPOT 3015,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_sgTVjfkcmcAt,2022-06-02 14:01:32,card,from,9700,SETTLED,,THE HOME DEPOT 3015,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_GthGNve4Ku76,2022-06-02 16:07:24,card,from,3894,SETTLED,,MEIJER 605 GAS STATION,5542,Automated Fuel Dispensers,USA,FUEL_MACHINE,,FALSE,FALSE,PRESENT,TRUE,ICC,INTERLINK,FAIL
business_g5oeQtakbRSk,2022-06-02 16:31:30,card,from,15518,SETTLED,,RENTFOREVENTLA,7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_xS1GSdvqvGVH,2022-06-02 18:05:17,ach_internal,from,44900,RETURNED,,+wyd+yk9sJqBbf0Iz+nOyoYLwe0uwnl6yiu1XrEa2ZM=,,,,,,,,,,,,
business_g5oeQtakbRSk,2022-06-02 18:17:49,card,from,11078,SETTLED,,FIVERR,7399,"Business Services, Not Elsewhere Classified",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,FAIL
business_g5oeQtakbRSk,2022-06-02 18:33:10,card,from,10847,SETTLED,,EASYSHIP.COM,4215,"Courier Services – Air or Ground, Freight forwarders",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ZIP_ONLY
business_CSUwH5xmvpYe,2022-06-02 18:48:57,card,from,7355,SETTLED,,SIMPLEPRACTICE,5734,Computer Software Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_pGErY9hkzHwZ,2022-06-02 20:16:10,card,from,7363,SETTLED,,CIRCLE K 07207,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,FALSE,TRUE,PRESENT,TRUE,ICC,MASTERCARD,FAIL
business_JdqojUMWtYU8,2022-06-02 20:24:03,ach_internal,from,20000,SETTLED,,RsEtLgoocU7BkEhef60sevrpqgsoiRyJb/SMvfdyQ8I=,,,,,,,,,,,,
business_sgTVjfkcmcAt,2022-06-02 20:35:40,card,from,2541,SETTLED,,MENARDS ST. PETERS MO,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_sgTVjfkcmcAt,2022-06-02 20:36:24,card,from,913,SETTLED,,MENARDS ST. PETERS MO,5200,Home Supply Warehouse Stores,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_c5DUbA5jxeVe,2022-06-02 21:10:11,ach_external,to,55135,SETTLED,,bmigdQ6wQIaxICo3I21Zcy9/Oqj7FPaR//wSDay5zyA=,,,,,,,,,,,,
business_sgTVjfkcmcAt,2022-06-02 21:21:14,card,from,2188,SETTLED,,PAYPAL *genshingacc08,4829,Money Orders – Wire Transfer,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_sgTVjfkcmcAt,2022-06-02 21:29:05,card,from,7690,SETTLED,,SUPPLYHOUSE.COM,5074,Plumbing and Heating Equipment and Supplies,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_sgTVjfkcmcAt,2022-06-02 22:27:52,card,from,30272,SETTLED,,AMZN Mktp US*Q625A61Z3,5942,Book Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_NrfhrFmh4xUq,2022-06-02 23:00:14,card,from,216,SETTLED,,Amazon web services,7399,"Business Services, Not Elsewhere Classified",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_g5oeQtakbRSk,2022-06-02 23:24:24,ach_internal,from,48000,SETTLED,,f5hQascmDg4H9EsScR3mZzkbEzpF/0yNJHhmdBaw96E=,,,,,,,,,,,,
business_RR5HKs2b11pT,2022-06-03 0:18:53,card,from,535,SETTLED,,KILWINS - APEX NC,5812,Eating places and Restaurants,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_pGErY9hkzHwZ,2022-06-03 1:07:12,card,from,20799,SETTLED,,AMZN Mktp US*CD0IN2PV3,5942,Book Stores,USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ADDRESS_ONLY
business_JdqojUMWtYU8,2022-06-03 1:29:34,card,from,27688,SETTLED,,KROGER #893,5411,"Grocery Stores, Supermarkets",USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_NrfhrFmh4xUq,2022-06-03 1:35:10,card,from,2299,SETTLED,,AUTOZONE #6998,5533,"Automotive Parts, Accessories Stores",USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH_ZIP_ONLY
business_JdqojUMWtYU8,2022-06-03 1:44:08,card,from,2452,SETTLED,,PUBLIX #1634,5411,"Grocery Stores, Supermarkets",USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
